Player,Game Type,Rk,G,Date,Age,Tm,Venue,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game
Kareem Abdul Jabbar,Regular Season,14,14,11/11/69,22-209,MIL,@,BOS,W (+11),,42:00:00,6,16,0.375,,,,16,17,0.941,,,11,3,,,,4,28,14
Kareem Abdul Jabbar,Regular Season,15,15,11/14/69,22-212,MIL,,CHI,W (+22),,32:00:00,7,13,0.538,,,,2,3,0.667,,,8,6,,,,2,16,15
Kareem Abdul Jabbar,Regular Season,16,16,11/15/69,22-213,MIL,@,BAL,L (-9),,48:00:00,12,21,0.571,,,,2,3,0.667,,,20,3,,,,3,26,16
Kareem Abdul Jabbar,Regular Season,17,17,11/16/69,22-214,MIL,,SFW,W (+6),,41:00:00,10,25,0.4,,,,8,12,0.667,,,16,8,,,,5,28,17
Kareem Abdul Jabbar,Regular Season,18,18,11/18/69,22-216,MIL,@,SFW,L (-17),,43:00:00,7,24,0.292,,,,7,9,0.778,,,15,2,,,,4,21,18
Kareem Abdul Jabbar,Regular Season,19,19,11/21/69,22-219,MIL,@,SEA,W (+2),,47:00:00,11,23,0.478,,,,9,13,0.692,,,15,0,,,,6,31,19
Kareem Abdul Jabbar,Regular Season,20,20,11/22/69,22-220,MIL,@,CHI,L (-19),,46:00:00,8,21,0.381,,,,5,8,0.625,,,11,4,,,,4,21,20
Kareem Abdul Jabbar,Regular Season,21,21,11/24/69,22-222,MIL,,CIN,L (-25),,31:00:00,5,13,0.385,,,,3,5,0.6,,,11,2,,,,3,13,21
Kareem Abdul Jabbar,Regular Season,22,22,11/25/69,22-223,MIL,,ATL,W (+15),,41:00:00,14,21,0.667,,,,5,7,0.714,,,13,6,,,,5,33,22
Kareem Abdul Jabbar,Regular Season,23,23,11/26/69,22-224,MIL,,LAL,W (+19),,47:00:00,13,31,0.419,,,,3,3,1,,,20,6,,,,1,29,23
Kareem Abdul Jabbar,Regular Season,24,24,11/29/69,22-227,MIL,,PHI,L (-18),,43:00:00,11,33,0.333,,,,1,5,0.2,,,22,8,,,,2,23,24
Kareem Abdul Jabbar,Regular Season,25,25,11/30/69,22-228,MIL,,SDR,W (+12),,44:00:00,8,24,0.333,,,,7,9,0.778,,,16,8,,,,4,23,25
Kareem Abdul Jabbar,Regular Season,26,26,12/2/69,22-230,MIL,@,PHI,W (+8),,42:00:00,11,21,0.524,,,,2,3,0.667,,,13,4,,,,4,24,26
Kareem Abdul Jabbar,Regular Season,27,27,12/5/69,22-233,MIL,,SEA,W (+33),,44:00:00,14,23,0.609,,,,8,13,0.615,,,9,5,,,,5,36,27
Kareem Abdul Jabbar,Regular Season,28,28,12/6/69,22-234,MIL,@,NYK,L (-25),,42:00:00,11,18,0.611,,,,4,5,0.8,,,10,3,,,,1,26,28
